Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),NCBI gene ID
ENSG00000198758,1,109750080,109764027,79574
ENSG00000134201,1,109712255,109775428,2949
ENSG00000232237,1,201113953,201127184,647219
ENSG00000134184,1,109687814,109709039,2944
ENSG00000262180,1,186400572,186401455,10896
ENSG00000155816,1,240014348,240475189,56776
ENSG00000143486,1,206571292,206612463,1939
ENSG00000116809,1,15941869,15976132,7709
ENSG00000133019,1,239386565,239915452,1131
ENSG00000163568,1,159062484,159147096,9447
ENSG00000116830,1,117060303,117107453,8458
ENSG00000196517,1,43991500,44031467,6536
ENSG00000116260,1,180154834,180204030,5768
ENSG00000078808,1,1216908,1232031,51150
ENSG00000118193,1,200551497,200620734,9928
ENSG00000120370,1,170532129,170553446,92344
ENSG00000203740,1,170146001,170167790,149281
ENSG00000132122,1,48295372,48472208,54558
ENSG00000153207,1,246839098,246931978,25909
ENSG00000116752,1,114567557,114581639,10286
ENSG00000171790,1,41015597,41023237,200172
ENSG00000197106,1,110150486,110202202,388662
ENSG00000116133,1,54849633,54887218,1718
ENSG00000181450,1,227563543,227677443,339500
ENSG00000168264,1,234604269,234609525,359948
ENSG00000163125,1,150363091,150476566,23248
ENSG00000203910,1,92217940,92245813,388649
ENSG00000082497,1,210232799,210246631,56256
ENSG00000009790,1,209756032,209782320,80342
ENSG00000163346,1,154944076,154956123,57326
ENSG00000070831,1,22052627,22092946,998
ENSG00000183155,1,202878957,202889135,5877
ENSG00000186118,1,46668855,46673594,374973
ENSG00000187140,1,63323041,63325126,27022
ENSG00000184389,1,33306766,33321098,127550
ENSG00000158716,1,159780932,159782543,54935
ENSG00000187942,1,21812265,21825221,401944
ENSG00000117448,1,45550543,45570049,10327
ENSG00000186510,1,16018875,16034050,1187
ENSG00000143751,1,225982702,225999331,163859
ENSG00000163041,1,226061851,226072001,3020
ENSG00000170128,1,200872955,200874178,2848
ENSG00000133063,1,203212827,203273641,1118
ENSG00000122180,1,203083132,203086036,4656
ENSG00000162777,1,111187174,111204535,79961
ENSG00000119285,1,236549005,236604504,55127
ENSG00000177807,1,159998651,160070483,3766
ENSG00000085999,1,46247688,46278473,8438
ENSG00000175984,1,114582848,114670422,163259
ENSG00000023902,1,150149183,150164720,51177
ENSG00000117155,1,84643707,84690803,117178
ENSG00000143515,1,154325553,154351307,57198
ENSG00000134748,1,52404564,52420839,84950
ENSG00000065526,1,15847864,15940460,23013
ENSG00000116824,1,116754385,116769228,914
ENSG00000160097,1,32862268,32872482,252995
ENSG00000049239,1,9234775,9271337,9563
ENSG00000156097,1,109539872,109548406,83873
ENSG00000116497,1,32816767,32858879,64766
ENSG00000154027,1,77282051,77559969,26289
ENSG00000135773,1,230747384,230802003,10753
ENSG00000157911,1,2403964,2413797,5192
ENSG00000151414,1,198156963,198322420,140609
ENSG00000259823,1,248718649,248755739,646627
ENSG00000237330,1,1070966,1074307,401934
ENSG00000189181,1,248681369,248682304,401994
ENSG00000177275,1,247924889,247935339,
ENSG00000238243,1,247895587,247896531,343171
ENSG00000162627,1,98661701,98760500,51375
ENSG00000053372,1,19251539,19260128,51154
ENSG00000257315,1,203795714,203854999,9877
ENSG00000257315,1,203795714,203854999,100381270
ENSG00000132681,1,160151570,160186977,480
ENSG00000162729,1,160091340,160098943,93185
ENSG00000162723,1,159951492,159954254,89886
ENSG00000197323,1,114392777,114511160,51592
ENSG00000197769,1,241995490,241999073,440738
ENSG00000204138,1,28369582,28500369,65979
ENSG00000219073,1,21977021,21998642,23436
ENSG00000187801,1,40450102,40463718,65243
ENSG00000116237,1,6221193,6235972,23463
ENSG00000143858,1,202590596,202710417,127833
ENSG00000143811,1,225919877,225924340,29920
ENSG00000134256,1,117001750,117036476,9398
ENSG00000143341,1,185734551,186190949,83872
ENSG00000263961,1,206037231,206102459,440712
ENSG00000154305,1,222618086,222668012,375056
ENSG00000160050,1,32200386,32205387,79140
ENSG00000162461,1,15736405,15741396,284723
ENSG00000203757,1,158716327,158720720,391114
ENSG00000135744,1,230702523,230714297,183
ENSG00000198841,1,52032103,52033816,112970
ENSG00000131686,1,8945867,8975092,765
ENSG00000170382,1,204617170,204685733,10446
ENSG00000188295,1,247099962,247104372,79862
ENSG00000197472,1,246945547,247008093,57116
ENSG00000277462,1,247036784,247078755,93474
ENSG00000117481,1,46340177,46365152,387338
ENSG00000121931,1,110947185,110964079,55791
ENSG00000134207,1,114089291,114153919,148281
ENSG00000116774,1,113979391,114035572,56944
ENSG00000116957,1,235367360,235448968,6905
ENSG00000253304,1,29119428,29123935,399474
ENSG00000142937,1,44775251,44778779,
ENSG00000143469,1,209938174,210171389,255928
ENSG00000135750,1,233614004,233672512,3775
ENSG00000126106,1,44635238,44674555,79639
ENSG00000159208,1,150282543,150287093,148523
ENSG00000143603,1,154697455,154870280,3782
ENSG00000160710,1,154582062,154627999,103
ENSG00000084070,1,40344850,40423326,64744
ENSG00000162456,1,46545644,46551527,148930
ENSG00000204160,1,26826710,26857602,84243
ENSG00000116852,1,200969390,201023700,23046
ENSG00000158286,1,6205475,6221299,388591
ENSG00000142961,1,46607715,46616891,148932
ENSG00000118298,1,150257159,150265078,23632
ENSG00000196266,1,159313670,159314659,441911
ENSG00000136636,1,215567392,215621807,51133
ENSG00000282881,1,46532166,46533614,
ENSG00000196505,1,117863485,117929630,54834
ENSG00000179639,1,159289714,159308224,2205
ENSG00000163239,1,154502219,154548147,126668
ENSG00000132702,1,156619294,156625725,60484
ENSG00000174567,1,204198160,204214092,127845
ENSG00000143839,1,204154819,204190324,5972
ENSG00000122218,1,160289273,160343400,1314
ENSG00000123684,1,211743457,211830772,9926
ENSG00000283952,1,211082872,211188533,
ENSG00000284299,1,210858125,211134146,
ENSG00000254726,1,156072013,156081998,92312
ENSG00000174842,1,92246402,92298987,11146
ENSG00000162398,1,54806063,54842252,163747
ENSG00000133216,1,22710839,22921500,2048
ENSG00000197429,1,45694324,45750650,3652
ENSG00000162757,1,209779208,209784559,148304
ENSG00000159592,1,45627304,45688113,60313
ENSG00000116882,1,119368779,119394130,51179
ENSG00000143158,1,167916729,167937040,25874
ENSG00000137948,1,91949371,92014426,676
ENSG00000184270,1,149887524,149887916,317772
ENSG00000143199,1,167809388,167914215,55811
ENSG00000184678,1,149884459,149886652,8349
ENSG00000203852,1,149852619,149854274,333932
ENSG00000143772,1,226631690,226739323,3707
ENSG00000272196,1,149851061,149851624,723790
ENSG00000203812,1,149842188,149842736,8337
ENSG00000169403,1,28147166,28193936,5724
ENSG00000164002,1,40508741,40516556,64789
ENSG00000198570,1,211476522,211492917,343035
ENSG00000156171,1,111117333,111140216,128338
ENSG00000143315,1,160027673,160031991,93183
ENSG00000000460,1,169662007,169854080,55732
ENSG00000173406,1,56994778,58546734,1600
ENSG00000278139,1,46043661,46176488,110117499
ENSG00000162407,1,56494747,56645301,8613
ENSG00000198765,1,114854803,114995370,6847
ENSG00000205116,1,1426128,1427787,643965
ENSG00000154429,1,229321005,229343294,126731
ENSG00000174514,1,205568885,205602918,148808
ENSG00000117697,1,212726153,212791782,25936
ENSG00000176083,1,26361634,26374522,257101
ENSG00000176092,1,26321859,26360052,55057
ENSG00000162624,1,75128434,75161533,431707
ENSG00000174332,1,53506237,53738106,148979
ENSG00000196772,1,247814660,247824119,284532
ENSG00000163382,1,156591762,156594299,128240
ENSG00000116791,1,74705482,74733408,1429
ENSG00000143006,1,53459399,53467488,63948
ENSG00000116922,1,37681570,37692249,54955
ENSG00000162813,1,220057482,220090462,10380
ENSG00000132676,1,155687960,155739010,7818
ENSG00000169214,1,247711436,247716646,343169
ENSG00000239395,1,247711813,247723764,
ENSG00000117000,1,40161373,40240921,6018
ENSG00000197437,1,247670812,247679739,441933
ENSG00000265972,1,145992435,145996600,10628
ENSG00000158473,1,158179947,158184896,912
ENSG00000121957,1,108875350,108934545,29899
ENSG00000163352,1,154993586,154994315,55891
ENSG00000162873,1,205336065,205357090,55220
ENSG00000162641,1,108815898,108858228,254268
ENSG00000177954,1,153990759,153992150,6232
ENSG00000177535,1,247449118,247458105,127623
ENSG00000168509,1,146017468,146036746,148738
ENSG00000163531,1,204828651,205022822,23114
ENSG00000135747,1,246945547,247078811,
ENSG00000162849,1,245154985,245709431,55083
ENSG00000116586,1,156054752,156058510,28956
ENSG00000154222,1,52345723,52366193,200014
ENSG00000117410,1,43974487,43978295,533
ENSG00000163263,1,154199372,154206333,388701
ENSG00000178922,1,43451003,43453989,81888
ENSG00000183726,1,25337917,25362361,23585
ENSG00000160685,1,155002630,155018522,51043
ENSG00000142794,1,21440128,21485005,84224
ENSG00000163545,1,205302059,205321791,81788
ENSG00000065600,1,212363931,212414901,55248
ENSG00000122188,1,203765176,203776233,54900
ENSG00000162734,1,160205337,160215376,8682
ENSG00000196418,1,247121975,247172016,7678
ENSG00000075945,1,169921326,170085208,22920
ENSG00000196189,1,156147366,156177752,64218
ENSG00000188404,1,169690667,169711698,6402
ENSG00000157131,1,56854806,56918221,731
ENSG00000197721,1,207645113,207738416,1379
ENSG00000143297,1,157513377,157552520,83416
ENSG00000163349,1,113929192,113977869,204851
ENSG00000157216,1,54225432,54413479,23648
ENSG00000163866,1,34712737,34859816,113444
ENSG00000117595,1,209785623,209806175,3664
